date;heure;ville;temperature;humidite;pluie_1h;pluie_24h
07/01/2026;16:45;Varanges;-2.1;93;0;0
07/01/2026;16:45;Genlis;-2.1;95;0;0
07/01/2026;17:13;Varanges;-2.1;94;0;0
07/01/2026;17:13;Genlis;-2.1;96;0;0
07/01/2026;17:45;Varanges;-2;94;0;0
07/01/2026;17:45;Genlis;-2;96;0;0
07/01/2026;18:40;Varanges;-1.8;95;0;0
07/01/2026;18:40;Genlis;-1.8;97;0;0
07/01/2026;19:02;Varanges;-1.7;95;0;0
07/01/2026;19:02;Genlis;-1.7;97;0;0
07/01/2026;19:32;Varanges;-1.6;95;0;0
07/01/2026;19:32;Genlis;-1.6;97;0;0
07/01/2026;19:52;Varanges;-1.5;95;0;0
07/01/2026;19:52;Genlis;-1.6;97;0;0
07/01/2026;20:31;Varanges;-1.5;95;0;0
07/01/2026;20:31;Genlis;-1.5;97;0;0
07/01/2026;20:57;Varanges;-1.5;95;0;0
07/01/2026;20:57;Genlis;-1.5;97;0;0
07/01/2026;21:29;Varanges;-1.4;95;0;0
07/01/2026;21:29;Genlis;-1.3;97;0;0
07/01/2026;21:46;Varanges;-1.3;95;0;0
07/01/2026;21:46;Genlis;-1.3;97;0;0
07/01/2026;22:26;Varanges;-1.1;96;0;0
07/01/2026;22:26;Genlis;-1;97;0;0
07/01/2026;22:47;Varanges;-1;96;0;0
07/01/2026;22:47;Genlis;-0.9;97;0;0
07/01/2026;23:25;Varanges;-0.8;96;0;0
07/01/2026;23:25;Genlis;-0.7;97;0;0
07/01/2026;23:43;Varanges;-0.8;96;0;0
07/01/2026;23:43;Genlis;-0.7;97;0;0
07/01/2026;23:56;Varanges;-0.8;96;0;0
07/01/2026;23:56;Genlis;-0.7;97;0;0
08/01/2026;02:21;Varanges;-0.4;96;0;0
08/01/2026;02:21;Genlis;-0.4;97;0;0
08/01/2026;03:50;Varanges;-0.5;97;0;0
08/01/2026;03:50;Genlis;-0.3;97;0;0
08/01/2026;04:43;Varanges;-0.2;97;0;0
08/01/2026;04:43;Genlis;-0.1;97;0;0
08/01/2026;05:12;Varanges;-0.1;97;0;0
08/01/2026;05:12;Genlis;0;97;0;0
08/01/2026;05:43;Varanges;0.2;97;0;0
08/01/2026;05:43;Genlis;0.2;97;0;0
08/01/2026;05:57;Varanges;0.2;98;0;0
08/01/2026;05:57;Genlis;0.2;97;0;0
08/01/2026;06:48;Varanges;0.4;98;0;0
08/01/2026;06:48;Genlis;0.3;97;0;0
08/01/2026;07:29;Varanges;0.5;98;0;0
08/01/2026;07:29;Genlis;0.4;97;0;0
08/01/2026;07:47;Varanges;0.5;98;0;0
08/01/2026;07:47;Genlis;0.5;97;0;0
08/01/2026;08:37;Varanges;0.7;98;0;0
08/01/2026;08:37;Genlis;0.6;97;0;0
08/01/2026;09:02;Varanges;0.8;98;0;0
08/01/2026;09:02;Genlis;0.7;97;0;0
08/01/2026;09:43;Varanges;0.9;98;0;0
08/01/2026;09:43;Genlis;0.8;97;0;0
08/01/2026;09:59;Genlis;0.9;97;0;0
08/01/2026;10:36;Genlis;1;97;0;0
08/01/2026;10:58;Varanges;1.1;98;0;0
08/01/2026;11:29;Varanges;1.2;98;0;0
08/01/2026;11:47;Varanges;1.2;98;0;0
08/01/2026;12:56;Varanges;1.5;98;0;0
08/01/2026;12:56;Genlis;1.6;97;0;0
08/01/2026;13:46;Varanges;1.7;98;0;0
08/01/2026;13:46;Genlis;1.9;97;0;0
08/01/2026;14:30;Varanges;1.8;98;0;0
08/01/2026;14:30;Genlis;1.9;97;0;0
08/01/2026;14:59;Varanges;1.8;98;0;0
08/01/2026;14:59;Genlis;1.8;97;0;0
08/01/2026;15:36;Varanges;1.8;98;0;0
08/01/2026;15:36;Genlis;1.8;97;0;0
08/01/2026;15:59;Varanges;1.8;98;0;0
08/01/2026;15:59;Genlis;1.8;97;0;0
08/01/2026;16:43;Varanges;1.9;98;0;0
08/01/2026;16:43;Genlis;1.8;97;0;0
08/01/2026;17:14;Varanges;2.1;99;0;0
08/01/2026;17:14;Genlis;2.1;97;0;0
08/01/2026;17:46;Varanges;2.8;99;0;0
08/01/2026;17:46;Genlis;2.7;97;0;0
08/01/2026;18:36;Varanges;3.7;99;0;0
08/01/2026;18:36;Genlis;3.6;97;0;0
08/01/2026;18:59;Varanges;4;99;0;0
08/01/2026;18:59;Genlis;3.8;97;0;0
08/01/2026;19:28;Varanges;4.2;99;0;0
08/01/2026;19:28;Genlis;4.1;97;0;0
08/01/2026;19:44;Varanges;4.3;99;0;0
08/01/2026;19:44;Genlis;4.3;97;0;0
08/01/2026;19:56;Varanges;4.3;99;0;0
08/01/2026;19:56;Genlis;4.3;97;0;0
08/01/2026;20:34;Varanges;4.2;98;0;0
08/01/2026;20:34;Genlis;4.5;97;0;0
08/01/2026;20:56;Varanges;4.1;98;0;0
08/01/2026;20:56;Genlis;4.4;97;0;0
08/01/2026;21:30;Varanges;4.1;98;0;0
08/01/2026;21:30;Genlis;4.3;97;0;0
08/01/2026;21:53;Varanges;4.2;99;0;0
08/01/2026;21:53;Genlis;4.4;97;0;0
08/01/2026;22:03;Varanges;4.2;99;0.3;3.13
08/01/2026;22:03;Genlis;4.4;97;0.2;3.64
08/01/2026;22:26;Varanges;4.6;99;1.01;3.84
08/01/2026;22:26;Genlis;4.5;97;1.11;4.55
08/01/2026;22:48;Varanges;4.7;99;1.82;4.75
08/01/2026;22:48;Genlis;4.6;97;1.52;4.95
